X,Y,OBJECTID,COD_SIG,IDTIPO,COD_SIG_EDIF,NOME,MORADA,TIPO_UNIDADE,TELEFONE,EMAIL,CODPOSTAL,FONTE,MORADA_RMOG,GlobalID
-9.12478009521559,38.752020765907,1,2105705006001021,999,2105705006001,38ª Esquadra,"Rua Ricardo Ornelas  Lote 378, R/C-A",Esquadra de Polícia,-,-,-,PSP,"Rua Ricardo Ornelas (antigo Impasse A4 do B. Flamengas Zona N1 Chelas) Lote 378, R/C-A",21788845-91be-4b5d-af40-f183b0016061
-9.13595240198001,38.717907075852,2,3100303072001001,999,3100303072001,Comando - 1ª Divisão Policial LX,"Rua da Palma, 169",Comando,213513600,-,1100-391,PSP,"Rua da Palma 169, R/C",801d5d4e-4943-421e-accb-23f56dc0d0ad
-9.12607697951657,38.7393509670215,3,0302704025001001,999,0302704025001,12ª Esquadra,"Largo Roque Laia 3A, R/C Loja A",Esquadra de Polícia,-,-,-,PSP,"Largo Roque Laia 3A, R/C-Loja A",cc8b174b-fb7e-45f9-af5f-bbc406846953
-9.1510548354175,38.726657492718,4,5001301001001002,999,5001301001001,Parque de Viaturas Rebocadas,"Alameda Edgar Cardoso Estacionamento, -1",Vários,-,-,-,PSP,"Alameda Edgar Cardoso Estacionamento, -1",23a42e6b-cb83-47fb-b8cb-6ec6d785cda9
-9.13603420706136,38.7093584972136,5,1900102007001004,999,1900102007001,2ª Esquadra,"Rua da Prata nº 38, 1100-419 Lisboa c/ Rua de S. Julião, nº69",Esquadra de Polícia,213427379,-,1100-524,PSP,"Rua da Prata 38, R/C",6875624f-dec8-4ed4-9c4d-dd16995b3df3
-9.12948514368708,38.7711527131489,6,3305901192001013,999,3305901192001,Secção de Achados,"Alameda das Comunidades Portuguesas Terminal 1, R/C",Vários,-,-,-,PSP,"Alameda das Comunidades Portuguesas Terminal 1, R/C",d2cf1e2c-2acf-4ea1-b6fb-1982c952dc5d
-9.16925483063454,38.7030951156314,7,2602406008001001,999,2602406008001,Divisão de Investigação Criminal,"Rua Cintura do Porto de Lisboa, Edifício P.S.P.",Divisão de Investigação Criminal,213943600,dic.lisboa@psp.pt,1399-014,PSP,"Avenida de Brasília PSP (Div Investigação Criminal), R/C",4e14e93c-66e3-4e71-94c8-2129c47e1da8
-9.16925483063454,38.7030951156314,8,2602406008001001,999,2602406008001,6ª Esquadra de Investigação Criminal,"Rua Cintura do Porto de Lisboa, Edifício P.S.P.",Esquadra de Investigação Criminal,213943690,6eic.lisboa@psp.pt,1399-014,PSP,"Avenida de Brasília PSP (Div Investigação Criminal), R/C",00c518c6-c075-4ca3-8f51-49d5a6d388cf
-9.16925483063454,38.7030951156314,9,2602406008001001,999,2602406008001,7ª Esquadra de Investigação Criminal,"Rua Cintura do Porto de Lisboa, Edifício P.S.P.",Esquadra de Investigação Criminal,213943600,7eic.lisboa@psp.pt,1399-014,PSP,"Avenida de Brasília PSP (Div Investigação Criminal), R/C",90a80a69-de9d-40aa-af33-76a0545c231a
-9.16925483063454,38.7030951156314,10,2602406008001001,999,2602406008001,8ª Esquadra de Investigação Criminal,"Rua Cintura do Porto de Lisboa, Edifício P.S.P.",Esquadra de Investigação Criminal,213943600,8eic.lisboa@psp.pt,1399-014,PSP,"Avenida de Brasília PSP (Div Investigação Criminal), R/C",0befa772-2f73-460c-a72b-02357a830b58
-9.12821125086749,38.7725063540605,11,3305901330001001,999,3305901330001,Divisão de Segurança Aeroportuária,"Aeroporto de Lisboa - Arruamento A, Edifício 11",Segurança Aeroportuária,218444530,das.lisboa@psp.pt,1700-008,PSP,"Rua A ao Aeroporto da Portela Edif 11, R/C",6b399bd5-8f44-4b9d-ac0a-940a05e32fe7
-9.12821125086749,38.7725063540605,12,3305901330001001,999,3305901330001,Esquadra de Comando da Divisão,"Aeroporto de Lisboa - Arruamento A, Edifício 11",Segurança Aeroportuária,218444530,-,1700-008,PSP,"Rua A ao Aeroporto da Portela Edif 11, R/C",d29bb77f-a03b-4f98-847d-37a631793790
-9.12821125086749,38.7725063540605,13,3305901330001001,999,3305901330001,Esquadra de Intervenção e Fiscalização,"Aeroporto de Lisboa - Arruamento A, Edifício 11",Segurança Aeroportuária,218444530,-,1700-008,PSP,"Rua A ao Aeroporto da Portela Edif 11, R/C",501778d9-aca8-4f92-8154-f9be4daae776
-9.12821125086749,38.7725063540605,14,3305901330001001,999,3305901330001,Esquadra de Segurança Aeroportuária de Lisboa,"Aeroporto de Lisboa - Arruamento A, Edifício 11",Segurança Aeroportuária,218444530,-,1700-008,PSP,"Rua A ao Aeroporto da Portela Edif 11, R/C",b4031884-4227-43c3-8f3b-c4ac01aefa03
-9.12821125086749,38.7725063540605,15,3305901330001001,999,3305901330001,Esquadra de Trânsito,"Aeroporto de Lisboa - Arruamento A, Edifício 11",Segurança Aeroportuária,218444530,-,1700-008,PSP,"Rua A ao Aeroporto da Portela Edif 11, R/C",14397534-15ae-4927-af23-daa02b6c8f1a
-9.12821125086749,38.7725063540605,16,3305901330001001,999,3305901330001,Esquadra de Investigação Criminal,"Aeroporto de Lisboa - Arruamento A, Edifício 11",Segurança Aeroportuária,218444530,-,1700-008,PSP,"Rua A ao Aeroporto da Portela Edif 11, R/C",d92efea1-7ec2-4c74-bd59-f594cefb12be
-9.1407819371869,38.7142342469276,17,3100403046001001,999,3100403046001,Divisão Policial de Segurança a Transportes Públicos - CP,Estação CP Rossio Ed. Posto do Comando,Segurança aos Transportes Públicos,213215738,dstp.lisboa@psp.pt,1200-147,PSP,Rua Primeiro de Dezembro 109,0f28386a-ed75-4f55-8b0d-1e86012f6695
